,이름,평점(별),작성시간,내용
28,Junghun Lee (너부리),4개,2020년 10월 3일,"패션 트레드 성향 및 스타일 제안도 해주어서 내게 맞는 옷선택에 도움을 많이 줘요. 특히, 적립금 및 쿠폰 사용으로 할인도 많이 되고 단 얼마라도 저렴하게 구입할 수 있어요. 하지만 무신사가 정해놓은 할인율까지 할인쿠폰이 적용되거나 일부 상품은 할인쿠폰사용제외, 보유적립금사용제외, 적립금선할인제외가 되서 좀 아쉬워요."
29,Google 사용자,3개,2020년 6월 25일,제발 오류좀 고쳐요.. 왜 랭킹이나 검색을 해서 들어가서 옷을 보다가 뒤로가기가 먹통이 되는지 이해를 할 수가 없네요;; 많은 인원이 사용하는 어플인데 별점이 3점대면 진짜 문제가 있는건데 죄송하단 말만 복붙하고 고치질 않으시네;; 뒤로가기가 아예 먹통되서 어플을 닫았다가 다시 들어가야 되는 수고를 옷 상세히 보려고 들어갈 때 마다 껏다켰다.. 어플고치면 고객 더 많아질 것 같은데 개선 좀 해줘요 진짜
30,이태규,3개,2024년 4월 3일,"플랫폼에 관한 만족도는 정말 10/10점 인데, 앱은 무한로딩이나 눌렀던 알림이 앱으로 쇼핑 중에 늦게서야 떠서 갑자기 다른 창으로 넘어가버리는 빈도가 너무 많습니자. 앱 캐시제거도 계속하는데도 상태가 심각해서 개선 부탁드립니다"
31,br H,5개,2024년 3월 31일,"패션앱 중에서 카테고리가 가장 세분화되어있어 좋습니다. 총장, 소매길이까지 고를 수 있는 점이 정말 좋아요. 그리고 모든 브랜드 이름이 한글로 표기되는 부분도 편하고 보기 좋습니다."
32,Okyoung Im,5개,2024년 3월 25일,사용자가 이용하기 너무 편해요! 제품더 다양하고 룩북 그리고 코디까지 꿀팁 주시어 많은 도움 됩니다. 찾고싶은 상품 정렬이 여타의 쇼핑사이트보다 월등히 좋습니다.
33,Hj J,4개,2024년 3월 29일,좋아요 페이지 들어가면 찾을 수 없는 페이지라고 뜨고 결제 진행 시 쿠폰 적용 누르면 적용은 안 되고 적용 중 이라고만 뜨고.. 결제 방법 선택 '카드 결제' 누르면 페이지 재부팅 ㅡㅡ; 무한반복 오류가 계속 떠요..
34,Yunseon Jo,1개,2024년 3월 27일,이미 최신 버전인데 출석체크가 안 되네요. 몇 번씩 재접속해도 안 돼서 재부팅 후 접속하기도 하고 삭제 및 재설치 후 시도해도 아무 소용없네요. 오늘 출석은 아무래도 글러먹은 듯싶네요. 빠른 해결 부탁 드려요.
35,ᄋᄉᄋ,4개,2024년 3월 21일,잘 사용하고 있는데 이번 업데이트 후에 자동로그인이 사라져서 앱 열때마다 매번 로그인 해야하네요.. '신상품'키워드 검색도 사라졌습니다ㅠ 신속한 해결 부탁드립니다.
36,김상순,3개,2024년 2월 22일,무신사앱을 다른 휴대폰에 설치하려고하니 기기가 앱과 호환되지않는다고 나오며 설치가 되지않습니다 인터넷검색해서 플레이서비스와 플레이스토어 모두 업데이트삭제 후 업데이트 다시 해서 무신사앱을 설치해봐도 같은 상황입니다 갤럭시S7엣지 sm-G935L입니다 다른 앱은 문제 없는데 무신사만 설치가 안되네요ㅠ
37,Yolo s,1개,2024년 3월 4일,"사용성 최악이네요 후기 이미지 첨부하는거 원래는 갤러리 따로 선택해서 하거나 내파일 해서 쉽게 사진 찾아서 첨부했는데, 개판으로 바꿔놨네요 이미지 첨부할려면 사진 일일히 내려서 찾아서 해야되는데 예전에 찍어둔 사진이면 그거 내려서 어떻게 찾습니까? 진짜 사용성 개판으로 만들었네요 다른 어플 따라서 하면 반은 갈텐데 사용자들 후기 남기지 말라고 발악하는거죠? 그리고 무신사 어플만 다크모드 적용 안되는데 그럴꺼면 무신사 앱 자체에서 다크모드 변경이라도 되게하던가 진짜 쓰레기 같이 어플 만들었네요 리뷰도 사진 똑바로 규정 지켰는데 매크로 답변으로 안된다길래 재문의 계속 넣었는데도 그것도 꾸역꾸역 씹고 제발 사진 좀 예전으로 롤백해쥬세요"
